id,id2,city_county_state,latitude,longitude,elevation,month,day,year
roanokecounty,roanokecounty,"Roanoke County, Virginia",37.270969,-79.941429,530,June,12,1979
staunton,staunton,"Staunton, Highland County, Virginia",38.412343,-79.580604,776,August,10,1978
suffolkcity,suffolkcity2,"Suffolk City, N/A, Virginia",36.73283,-76.579002,31,March,9,2009
suffolkcity,suffolkcity1,"Suffolk City, Virginia",36.73283,-76.579002,31,April,1,1979
virginiabeach,virginiabeach1,"Virginia Beach, N/A, Virginia",36.852926,-75.977985,301,March,22,1978
virginiabeach,virginiabeach2,"Virginia Beach, Princess Anne, Virginia",36.765371,-76.156214,301,April,23,1966
williamsburg,williamsburg,"Williamsburg City, N/A, Virginia",37.271133,-76.716614,26,November,18,1999
williamsburg,williamsburg2,"Williamsburg City, N/A, Virginia",37.271133,-76.716614,26,April,13,1967
williamsburg,williamsburg4,"Williamsburg, James City County, Virginia",37.270702,-76.707457,301,February,20,1939
williamsburg,williamsburg3,"Williamsburg, York Country, Virginia",37.2707,-76.7075,85,May,26,1975
winchester,winchester3,"Winchester, Frederick County, Virginia",39.071834,-78.323513,301,May,8,1971
winchester,winchester4,"Winchester, Shenandoah County, Virginia",38.8719,-78.5769,301,May,5,2011
winchester,winchester2,"Winchester, Warren County, Virginia",39,-78.15,301,August,17,1980
