446.0000	1635.0000
458.0000	1618.0000
471.0000	1609.5000
471.0000	1601.5000
485.5000	1588.5000
496.5000	1588.5000
496.0000	1577.0000
490.5000	1577.0000
492.0000	1573.0000
509.0000	1563.0000
522.5000	1547.0000
517.0000	1537.5000
555.0000	1512.5000
555.0000	1506.0000
568.0000	1497.5000
591.5000	1487.5000
581.0000	1483.0000
590.0000	1477.5000
599.5000	1472.0000
604.5000	1464.5000
605.0000	1458.5000
606.0000	1450.0000
610.0000	1441.0000
616.0000	1433.0000
616.5000	1426.0000
617.5000	1422.0000
617.5000	1416.5000
621.5000	1409.5000
625.0000	1405.5000
626.5000	1393.0000
626.0000	1387.0000
619.5000	1389.0000
610.0000	1393.5000
604.0000	1397.0000
596.5000	1404.0000
591.0000	1406.5000
586.0000	1409.5000
580.5000	1411.5000
575.0000	1418.5000
566.5000	1423.0000
558.0000	1424.5000
556.0000	1432.5000
553.0000	1438.0000
549.5000	1443.0000
548.0000	1449.0000
538.5000	1449.0000
535.5000	1456.0000
535.0000	1461.0000
534.0000	1476.0000
534.0000	1485.0000
528.0000	1491.5000
527.5000	1483.0000
522.0000	1482.5000
520.0000	1490.5000
515.0000	1504.0000
515.0000	1520.0000
510.0000	1524.0000
509.5000	1532.0000
506.0000	1532.0000
498.0000	1532.0000
491.5000	1546.5000
488.0000	1557.0000
484.0000	1560.5000
480.0000	1572.0000
474.5000	1572.5000
468.0000	1581.0000
461.5000	1588.5000
460.5000	1598.5000
456.0000	1599.0000
449.0000	1608.5000
445.0000	1616.5000
442.0000	1619.5000
441.5000	1621.0000
441.5000	1623.0000
437.5000	1629.0000
