309.0000	662.0000
319.5000	658.0000
322.0000	661.0000
324.5000	658.5000
329.5000	665.5000
334.5000	659.5000
342.5000	671.0000
344.5000	658.5000
353.5000	672.5000
353.0000	660.5000
361.0000	671.0000
362.0000	665.5000
369.0000	667.0000
369.0000	663.5000
375.0000	659.0000
369.5000	652.0000
364.0000	652.0000
363.0000	646.5000
360.0000	648.5000
357.0000	646.0000
350.0000	652.0000
347.5000	656.0000
347.5000	647.0000
342.0000	650.0000
335.5000	646.0000
328.5000	653.5000
322.0000	649.5000
321.0000	655.5000
